"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде (с учетом изменений), в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",1212259297.0432,10503637.49738,8751471.9197,7381223.01584,0,0,0,0,0,0,3567718.81894,2132779.30937,71176.67879,491639.01458,8925.46982,863198.34638,3813504.1969,1823319.99203,1148202.54772,442540.42215,398941.235,500,0,0,0,0,0,0,0,0,0,0,0,0,1370248.90386,0,,,0,,0,2140.83971,0,2140.83971,0,0,0,1368108.06415,0,0,3330.5899,1134733.38588,230044.08837,0,0,0,0,0,0,0,0,0,0,0,0,1752165.57768,832129.45629,227089.45629,0,223514.90241,3574.55388,0,0,0,0,0,0,0,,605040,250000,205500,149540,0,0,0,0,0,0,0,0,0,,0,,0,0,920036.12139,0,,0,0,0,0,0,,,,0,,920036.12139,0,0,216750.411,647215.69475,56070.01564,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1201755659.54582,1087282021.12082,0,0,0,1049647422.99159,0,37634598.12923,114473638.425,0,110170037.15,4303601.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3825,"Общество с ограниченной ответственностью ""Страховая Компания СОГАЗ-ЖИЗНЬ""",134776304.69910002,126585569.6991,126284165.89288,82079758.87988,44895980.201,0,2737195.619,37502728.911,4656055.671,0,0,0,0,0,0,0,37159278.67888,771475.791,9393493.83497,18714294.65817,7740178.12716,539836.26758,24500,24500,0,0,0,0,0,0,0,0,0,0,44204407.013,0,,,0,,0,0,0,0,0,0,0,30595007.013,200,487.969,20921538.264,7842118.922,1830661.858,13609400,13609400,0,0,0,0,0,0,0,0,0,0,301403.80622,235661.32222,0,0,0,0,0,0,0,0,0,0,0,,235661.32222,480,22561.76671,107480.47969,91344.10053,13794.97529,0,0,0,0,0,0,0,,0,,0,0,65742.484,0,,0,0,0,0,0,,,,0,,65742.484,0,0,294.102,4809.269,60639.113,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,8190735,8190735,0,0,0,8150310,0,40425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3826,"Общество с ограниченной ответственностью ""Вита-страхование""",28623786.975599997,52172.446,52172.446,52172.446,0,0,0,0,0,0,0,0,0,0,0,0,52172.446,52172.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,28571614.5296,24776113.12337,2273.40037,0,0,24674503.5,0,99336.223,3795501.40623,74096.07523,106520.205,3614885.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3828,"Общество с ограниченной ответственностью ""Зетта Страхование жизни""",85136514.46884,49945.00023,49544.00023,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,49532.00023,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49532.00023,43030.34044,0,0,3300,3201.65979,401,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,400,0,,0,0,0,0,0,,,,0,,400,0,0,0,0,400,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,85086569.46861,39635412.56594,0,0,0,0,0,39635412.56594,45451156.90267,6519048.49613,29492027.17413,9440081.23241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3837,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-М""",11793000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,11793000,0,0,0,0,0,0,0,11793000,0,11793000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",520953552.5006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,136777739.6651,6570422.7021,0,0,0,6544722.7021,0,25700,130207316.963,2997599.581,127060620.782,149096.6,374320812.8355,350552288.3385,90890.9,90890.9,0,0,43322564.48003,0,0,0,293977008.77418,0,0,0,0,0,0,0,0,0,0,0,13089927.33629,0,0,13089927.33629,71896.848,71896.848,0,0,23768524.497,16720,16720,0,0,0,20894775.5079,0,0,0,0,0,0,0,0,0,0,2857028.9891,1197028.9891,0,0,0,1660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,9855000,9190000,15000,10000,640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",866697962.4050901,6934605.79709,6934605.79709,1698232.297,122557.6,0,122557.6,0,0,0,3873.6,1051,1085,1737.6,0,0,1571801.097,571858.197,999942.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5236373.50009,0,,,0,,0,0,0,0,0,0,0,1391488.68952,13993.85452,0,1120998.75,140281.096,116214.989,3844884.81057,0,0,3764195.21055,39172.6,41517.00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,859763356.608,859761064.269,0,0,0,859748400,0,12664.269,2292.339,0,0,2292.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",199891570.74917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,41885656.17417,36326462.29821,0,0,0,0,0,36326462.29821,5559193.87596,5559193.87596,0,0,158005914.575,95690561.29687,306602.511,0,306602.511,0,8039666.0908,1000,0,1000,28900,141523.716,0,0,0,0,0,141523.716,0,0,141523.716,0,32516443.48579,0,0,32516443.48579,54656425.49328,45010355.50133,577274.916,9068795.07595,62213584.32886,3500,3500,0,0,0,57407640,0,0,0,0,0,0,0,95250,0,95250,4707194.32886,0,0,0,0,4707194.32886,0,0,0,0,0,0,0,0,0,0,0,101768.94927,9297.03768,0,92471.91159,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",3123093.249,317956.809,317956.809,4437.393,0,0,0,0,0,0,0,0,0,0,0,0,4437.393,0,0,3677.869,759.524,0,0,0,0,0,0,0,0,0,0,0,0,0,313519.416,0,,,0,,0,0,0,0,0,0,0,313519.416,0,0,9284.316,38275.88,265959.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,2805136.44,2805136.44,0,0,0,2700,0,2802436.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",131810706.62769,105243190.39586,90387745.57176,71917974.10665,0,0,0,0,0,0,66362800.9886,1317676.21436,13622394.18412,47151318.50739,4271412.08273,0,5550743.11805,875521.3049,3236396.86361,1078754.99954,360069.95,0,4430,0,0,0,0,4430,0,0,0,0,0,0,18469771.46511,0,,,0,,0,0,0,0,0,0,0,18027769.92911,0,0,13600420.90508,2579752.02082,1847597.00321,442001.536,0,0,6000,48000,388001.536,0,0,0,0,0,0,14855444.8241,14622737.63562,14622737.63562,421130,4220748.59729,978459.03833,4242000,4760400,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,232707.18848,202308.28369,,0,202308.28369,0,0,0,,,,0,,30398.90479,0,0,30000,0,398.90479,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,26567516.23183,23654728.52183,0,0,0,17589427.29147,0,6065301.23036,2912787.71,0,0,2912787.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3941,Общество с ограниченной ответственностью «ПСБ Страхование»,178541534.22166002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,32963384.66583,10106798.09165,0,0,0,0,0,10106798.09165,22856586.57418,2026688.83618,16769107.838,4060789.9,145578149.55583,140514515.16294,4519391.32543,4519391.32543,0,265471.5,0,112846.514,112846.514,0,1843805.06023,0,0,0,0,0,0,0,0,0,0,0,123821974.8898,0,85493145.91635,38328828.97345,9951025.87348,9161144.0711,786310,3571.80238,4974263.8052,47500,47500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4926263.8052,2909257.35505,0,0,0,2017006.45015,500,0,0,0,0,0,0,0,500,0,0,89370.58769,0,0,89370.58769,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943,"Общество с ограниченной ответственностью ""Страховая компания ""АК БАРС-Мед""",10338611.05977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,10338611.05977,0,0,0,0,0,0,0,10338611.05977,0,8368227.7826,1970383.27717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,2841011394.59808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2840753894.59808,2765930324.11008,0,0,0,0,0,0,0,0,1422817915.66879,0,0,0,0,0,0,0,0,0,0,0,1343112408.44129,0,0,1343112408.44129,0,0,0,0,65783292,70000,70000,0,0,0,0,0,0,0,0,0,0,0,14942527.5,0,14942527.5,50770764.5,0,0,0,0,50770764.5,0,0,0,0,0,0,0,0,0,0,0,9040278.488,0,0,9040278.488,,,,,,,,,0,257500,257500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",2216862463.28085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1986799649.80692,1960411171.02181,1797497785.98,126187293.45,0,22838574.03522,0,13887517.55659,26388478.78511,0,6696224.84561,19692253.9395,230062813.47393,143118247.89857,34756452.97962,33942999.02862,813453.951,0,0,1628616.85992,1628616.85992,0,66458720.72093,7776083.09497,7067654.74997,6700693.8374,0,366960.91257,0,708428.345,21358.685,0,687069.66,0,13199544.93944,6338208.18741,910048.88131,5951287.87072,19298829.30369,12291734.4145,5523957.26455,1483137.62464,43267194.54889,259800,259800,0,0,0,0,4585722.4,3522595.4,1063127,0,0,0,0,769488.62098,769488.62098,0,37196196.80791,726604.96843,0,4286900.1,24700,32157991.73948,455986.72,0,0,0,0,0,0,0,335000,120986.72,27000,43650371.02647,31046445.02294,0,12603926.00353,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",1929515.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1929515.33,27091.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27091.239,0,0,27091.239,0,0,0,0,1885049.091,0,0,0,0,0,0,0,0,0,0,0,0,0,759734.244,759734.244,0,1125314.847,0,0,0,0,1125314.847,0,0,0,0,0,0,0,0,0,0,17375,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",617417860.06408,151571388.30957,138885570.80514,112157104.32656,0,0,0,0,0,0,87213550.23907,24610432.19814,6548229.51746,32932729.6777,20727938.32475,2394220.52102,6758305.3997,4688385.32272,1665298.68266,404621.39432,0,0,18185248.68779,8610196.09827,1802972.25089,7772080.33863,0,0,0,0,0,0,0,0,26728466.47858,0,,,0,,0,13935057.6433,12894,3208.632,46533.34252,391553.23076,13480868.43802,7186448.83528,37402.89115,15935.09939,5859922.65067,979333.36187,293854.8322,5606960,5606960,0,0,0,0,0,0,0,0,0,0,12685817.50443,8134711.54452,7163807.81138,0,1865264.1134,5298543.69798,0,0,9776.02112,6700.01032,3076.0108,0,0,,101106.4,0,0,101106.4,0,0,860021.31202,859475.31202,546,0,0,0,0,,0,,0,0,4551105.95991,0,,0,0,0,0,0,,,,0,,4546549.78263,51340.3102,308902.07437,3124007.09103,349085.51172,713214.79531,4556.17728,4556.17728,,0,0,0,0,,0,0,0,0,133648.63466,0,,0,0,0,0,133648.63466,,0,0,0,133648.63466,465712823.11985,180530639.60972,0,0,0,0,0,180530639.60972,285182183.51013,0,0,285182183.51013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",1322586100.2882898,15699666.81368,14322724.58804,6592342.31864,0,0,0,0,0,0,5019753.66212,3206772.14373,1647282.37539,164699.143,1000,0,1433099.00702,47783,851869.127,419302.15635,113361.72367,783,26991.027,24051.283,2162.919,776.825,0,0,112498.6225,51628.49607,16400.12643,0,0,44470,7730382.2694,0,,,0,,0,0,0,0,0,0,0,5303250.77686,0,3430,2695516.87202,1749564.40684,854739.498,87156.49254,49500,15255,8611.49254,13490,300,2339975,0,0,0,0,2339975,1376942.22564,591568.16857,586958.50757,0,220927.06481,256099.19336,109932.2494,0,0,0,0,0,0,,546,0,216,330,0,0,0,0,0,0,0,0,4063.661,,1688.661,,0,2375,785374.05707,748654.05707,,0,2907.00001,726519.05706,19228,0,,,,0,,36720,0,7450,29270,0,0,0,0,,0,0,0,0,,0,0,0,0,760283.8669,0,,0,0,0,0,760283.8669,,0,0,0,760283.8669,1306126149.60771,72981320.62144,695014.8344,0,3320000,4744561.0321,0,64221744.75494,1233144828.98627,102695676.12992,75500,1130373652.85635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3987,"Акционерное общество Страховая компания ""УРАЛСИБ Жизнь""",15218094.34985,15218094.34985,15137378.82185,14795823.43985,2119935.866,1120233.085,686720.453,312982.328,0,0,12039828.15928,5872.90883,12033955.25045,0,0,0,636059.41457,0,84454.127,533605.27757,17400.01,600,0,0,0,0,0,0,0,0,0,0,0,0,341555.382,0,,,0,,0,0,0,0,0,0,0,341555.382,0,0,315987.156,25568.226,0,0,0,0,0,0,0,0,0,0,0,0,0,80715.528,73991.891,0,0,0,0,0,0,0,0,0,0,0,,73991.891,0,0,0,51368.962,22622.929,0,0,0,0,0,0,0,,0,,0,0,6723.637,0,,0,0,0,0,0,,,,0,,6723.637,0,0,0,5532.766,1190.871,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
